Date,Account,Category,Subcategory,Note,Income/Expense,Amount,Currency,Account
11/26/21 9:22,CUB - online payment,Food,,Breakfast,Expense,60,INR,60
11/25/21 20:27,CUB - online payment,Food,,Lunch with company,Expense,145,INR,145
11/25/21 20:27,CUB - online payment,Transportation,,Rapido,Expense,58,INR,58
11/25/21 20:27,CUB - online payment,Food,,Dinner,Expense,95,INR,95
11/24/21 19:26,CUB - online payment,Food,,Snack,Expense,15,INR,15
11/24/21 19:23,CUB - online payment,Food,,Dinner,Expense,70,INR,70
11/24/21 19:06,CUB - online payment,Food,,Panipoori,Expense,20,INR,20
11/24/21 19:06,CUB - online payment,Transportation,,Rapido,Expense,58,INR,58
11/23/21 22:53,CUB - online payment,Transportation,,Rapido,Expense,50,INR,50
11/23/21 22:53,CUB - online payment,Food,,Dinner,Expense,179,INR,179
11/22/21 14:16,CUB - online payment,Food,,Dinner,Expense,90,INR,90
11/22/21 14:16,CUB - online payment,Food,,Lunch with company,Expense,97,INR,97
11/21/21 17:07,CUB - online payment,Transportation,,Rapido,Expense,130,INR,130
11/21/21 15:50,CUB - online payment,Food,,Lunch,Expense,875,INR,875
11/21/21 13:30,CUB - online payment,Other,,Got from gobi,Income,2000,INR,2000
